時間,Group1_Production_包装機(産業機械)_#06,Group1_Production_包装機(産業機械)_#16,Group2_Production_産業機械_#04,Group2_Production_産業機械_#05,Group2_Production_産業機械_#08,Group2_Production_産業機械_#11,Group2_Production_産業機械_#13,Group3_Production_成形機(産業機械)_#02,Group4_Production_産業機械_#03,Group4_Production_産業機械_#09,Group4_Production_産業機械_#12,Group5_Production_産業機械_#14,Group6_Production_産業機械_#01,Group7_Production_産業機械_#07,Group8_Production_産業機械_#15,Group9_Production_産業機械_#10,
08:12,697.4,0,2193.7999999999997,1036.4,1298.4,930.0000000000001,1529.8,1869.2,2232,2104,286.8,715,264.2,76.6,31.2,2.1999999999999997,
08:13,597.8,0,1891,850.6,1085,943.4,1298.8,1451.3999999999999,2107,2112.8,276.4,761.8000000000001,34.599999999999994,102,43,7.3999999999999995,
08:14,676.8,0,1998.9999999999998,899.2,1152,896.1999999999999,1380.8,1632.8,2133.8,2095.6,297.40000000000003,684.4,115.99999999999999,88,40.6,0,
08:15,627.4,0,1921,938.1999999999999,1172.4,844,1308.2,1617.2,2063.2000000000003,1987.8,268.8,709.4,192,70.8,39,22,
08:16,647.6,0,1978.2,945.4000000000001,1117.2,938.4000000000001,1355.4,1538,2138,2070,269.6,738.6,63,93.60000000000001,43.2,0.6,
08:17,563.6,0,1884.8,857.1999999999999,1124.8,943,1293,1516,2017.8000000000002,2033.2,321.8,638.1999999999999,64.2,81.8,35.4,8,
08:18,453.59999999999997,0,1921.3999999999999,875.4,1176.2,954.4000000000001,1341.8,1634.6,2078.4,2019.8,306.4,679.1999999999999,54.400000000000006,98.8,43.6,4.3999999999999995,
08:19,461.2,0,1954.2000000000003,852.6,1104,1029.8,1344.6,1632,2372.6,2212.6,274.8,963.1999999999999,165.2,76.6,50.6,42.4,
08:20,627.4,0,2513.8,963.0000000000001,1226.8000000000002,910.8000000000001,1916.1999999999998,1837.2,2881.4,1909.8,323.4,956.8,424.6,51.6,20.8,5.4,
08:21,609.8,0,2361,1120.8,1479,897.1999999999999,1655.2,2373.8,2308.6,1960.0000000000002,314.2,657.8000000000001,522.2,53.6,18.4,10.8,
08:22,592.4000000000001,0,2350.6,1102.3999999999999,1326.2,999.2,1594.6,2205,2357.7999999999997,2050,331.2,749.2,375.4,49.2,29.599999999999998,0.8,
08:23,499.4,0,2374.6,1076,1331.8,994.4000000000001,1580.2,2255.6,2376.8,1989.2,311.8,746.6,321.8,72.8,37,0.8,
08:24,629.8,0,2465.8,1124.4,1388.2,1043.2,1696.6000000000001,2218.7999999999997,2515,2202.2,303.4,807.1999999999999,382.8,41.6,21.2,0.8,
08:25,690.6,0.2,2342.6,1162.2,1342,963.1999999999999,1513.4,2070.6,2339.8,2048.8,295.8,783.6,412.6,25,25.8,11.600000000000001,
08:26,727.2,0.6,2435.6000000000004,1180.4,1295.2,1079.6,1605.8,2042.8000000000002,2525.4,2217.4,307.8,863.1999999999999,368.6,32.800000000000004,26.8,0.2,
08:27,637.8,0,2294,1091.2,1274.2,1021.0000000000001,1558.6000000000001,1967.0000000000002,2367.2000000000003,2147.2000000000003,305.4,797.6,291.59999999999997,41.4,35,2,
08:28,494.20000000000005,0,2233.4,1011.9999999999999,1271.4,985.8000000000001,1483,2089.2,2361.4,2036,302.8,740.2,230.39999999999998,77.8,38,0,
08:29,488.2,0,1967.8000000000002,878.5999999999999,1162.4,883,1310.8,1740.4,2154.6,2038.8000000000002,307.2,682.2,89.8,54.400000000000006,44.6,7.8,
08:30,687.8,0,2083,955.5999999999999,1193.6,945.5999999999999,1449.4,1747.8000000000002,2266.7999999999997,2165.6,304.59999999999997,731.2,89.8,78.2,57.599999999999994,1.2,
08:31,768.8,0,2155.8,1006.6,1226,1037.8,1544.8,1759.4,2263.2000000000003,2190.4,341,719.4,176,85.8,36.6,2.8000000000000003,
08:32,716,0,2284.6,1074,1294,1046.4,1617.0000000000002,1789.2,2418.4,2290.8,278.4,834.8000000000001,170.79999999999998,66.4,43,2,
08:33,754,0,2244.4,1052.8,1325,1019.8000000000001,1626.0000000000002,1948,2244.8,2152.2,327,705,250.59999999999997,88.4,39.6,1.6,
08:34,747,0,2288.2000000000003,1080.6,1342.3999999999999,1022.0000000000001,1600.8,1934,2319.8,2199.2000000000003,296.4,761.2,274.2,60,39.800000000000004,1.6,
08:35,793.2,0.4,2384.7999999999997,1137,1375.6,1046.8,1658.8000000000002,2020.4,2407.2,2237.4,317,783.8,364,34.8,33.6,0,
08:36,657,0.2,2283.2000000000003,1055,1267,1004.5999999999999,1601.0000000000002,1875,2327.2,2174,291.2,805.5999999999999,293.40000000000003,37.4,31.4,2.4,
08:37,779.8,0.2,2348.2,1102.6,1362.8,1043.8,1670.4,2058,2407,2228,332.2,736,373,43.2,24.6,0,
08:38,657.5999999999999,0,2214.6,1007.6,1248,982.8,1562.6,1869.2,2283.8,2183,340.6,720.6,282.8,46.6,22.400000000000002,6,
08:39,569.8000000000001,0,2093.2,938.5999999999999,1191.6000000000001,947.6000000000001,1499,1731.2,2189.2,2086.7999999999997,284.8,740.4,147,60.8,46.2,3,
08:40,522,0,1958.2,909.4,1158.8,942.4,1389.6000000000001,1753,2128,1957.1999999999998,318.2,650.4,104.80000000000001,70.19999999999999,45.6,7.199999999999999,
08:41,601.6,0,1923.4,886.9999999999999,1111.4,959.6,1344.2,1576.6,2082.6,2030.9999999999998,350.2,665,87,59.4,37.4,11.4,
08:42,459.40000000000003,0,1967.0000000000002,904.5999999999999,1172.4,900.2,1310.3999999999999,1877.4,2129.6,1889.6000000000001,296.4,655.6,97.39999999999999,92.60000000000001,57.8,0,
08:43,575.1999999999999,0,2095,966.6,1260.6,974.2,1472.2,1918,2243,2050.2,311.2,680.8,178,77.8,42.199999999999996,0.2,
08:44,461.8,0,2007,836,1102.6,958.6,1351.8000000000002,1776.2,2253.4,2087.2,307.6,786.8000000000001,144.6,46.800000000000004,43.4,23.599999999999998,
08:45,674.6,0,2330,1088,1320.8,1112,1657.4,1927.6,2445.2000000000003,2320.4,335.8,823.4,241.8,35.8,29.2,2.1999999999999997,
08:46,773.4,0.2,2268.2,1058.2,1278.4,1023.8,1614.3999999999999,1907.1999999999998,2271.8,2203,354.8,718.4,336.4,28.4,24.4,1,
08:47,751,0.2,2368.6,1051.6,1271.4,1056.4,1627,2022.6,2529.6,2356,326.4,894.6,393.6,19.6,19.6,16.8,
08:48,629,0,2242,998.6,1262,945.8000000000001,1501.6,2050.7999999999997,2299,2104.7999999999997,342.6,723.6,326.4,36.6,33.2,2.1999999999999997,
08:49,776.8,0.2,2285.6000000000004,1097.4,1332.1999999999998,1006.8,1609,1980.8,2286.6,2128,323,717.1999999999999,375.59999999999997,41.4,22.8,0.8,
08:50,579.6,0,2313.4,1105.8,1291.8,963.8,1570,2095,2339.2,2031.6,319.4,751.4,374.6,30.4,26.400000000000002,3.2,
08:51,711.2,0.4,2445.7999999999997,1174.6000000000001,1372.2,1055.4,1705,2212.4,2486.4,2137,342.4,780.4,463.6,11.4,19.6,0,
08:52,514.2,0,2134.7999999999997,972.6000000000001,1154,984.6,1379.2,1817.3999999999999,2286.6,2060,323.4,768.4,176.8,19.2,41.8,8.6,
08:53,444.80000000000007,0,2123,971.0000000000001,1187.8,975,1370.6,1795.7999999999997,2315.4,2114,278.2,796.8,94.39999999999999,34.599999999999994,65.2,4.8,
08:54,502.4,0,1857.6000000000001,834.4,1023.8,857,1212.4,1483.2,2045.6,2002.8,294.4,727.4,84.6,29.2,45,16.6,
08:55,656,0,2236.7999999999997,1046.4,1234,977,1513.4,1882,2299.2000000000003,2140.6,289.2,794.8000000000001,263.4,38.6,34,1,
08:56,646.4000000000001,0,2303.2,1105.6,1342,989.8,1536.6,2004.2000000000003,2386.2,2147.4,284.6,777.2,253.2,55.60000000000001,49,9.6,
08:57,635.4,0,2284.2,1083.6000000000001,1329.2,1105.2,1561.4,2008.3999999999999,2427.4,2202.2,341.59999999999997,738,241.6,49.8,33.800000000000004,4,
