時間,Group1_Production_産業機械_#06,Group2_Production_産業機械_#09,Group3_Production_産業機械_#01,Group3_Production_産業機械_#03,Group3_Production_産業機械_#12,Group3_Production_産業機械_#14,Group3_Production_産業機械_#15,Group4_Production_産業機械_#04,Group4_Production_産業機械_#10,Group5_Production_製造機械_#02,Group5_Production_製造機械_#08,Group5_Production_製造機械_#13,Group6_Production_産業機械_#05,Group6_Production_産業機械_#07,Group6_Production_産業機械_#11,Group7_Production_産業機械_#16,
16:30,16.8,0.2,10.8,14.799999999999999,0.2,73.6,0,0,0,1,0,13.600000000000001,0,1.6,24.4,0,
16:31,17,0.2,10.8,15,0.2,74.2,0,0,0,1.2,0,13.8,0,0.8,24.8,0,
16:32,17.2,0.2,11,15.2,0,73,0,0,0,1,0,13.600000000000001,0,0.8,24.8,0,
16:33,16.8,0.2,11.200000000000001,14.399999999999999,0,73.4,0,0,0,0.8,0,13.600000000000001,0,1.4000000000000001,25,0,
16:34,16.8,0.2,10.8,15.2,0,73.8,0,0,0,1,0,13.600000000000001,0,1,24.2,0,
16:35,16.6,0.2,11.200000000000001,14.6,0.2,74,0,0,0,1,0,13.4,0,1.6,25.2,0,
16:36,17,0.2,11.600000000000001,14.6,0.2,73.4,0,0,0,1,0,13.600000000000001,0,1.6,25.2,0,
16:37,17.2,0.2,10.8,15.2,0,74.4,0,0,0,1.2,0,14.000000000000002,0,0.4,24.6,0,
16:38,17,0.4,11.200000000000001,15.4,0,74.4,0,0,0,1.2,0,13.600000000000001,0,0.8,25.2,0,
16:39,17.2,0.4,10.8,15.6,0,74,0,0,0,1.2,0,13.8,0,0.4,24.8,0,
16:40,17,0.4,11,15.6,0.2,73.6,0,0,0,1.2,0,13.4,0,0.6,25,0,
16:41,17,0.2,10.8,15,0,74,0,0,0,1,0,13.8,0,1,24.8,0,
16:42,17,0.4,11,15.6,0,74.6,0,0,0,1,0,13.600000000000001,0.2,0.2,25.4,0,
16:43,17,0.2,11.200000000000001,15,0,74.2,0,0,0,1,0,13.600000000000001,0,0.6,25.2,0,
16:44,17.2,0.2,10.8,15.4,0,73.6,0,0,0,1,0,13.8,0,0.8,24.6,0,
